,datestr,city,state,shape,duration_description,start_dt,duration_secs,end_dt,location_name,lon,lat
45,3/12/17 18:00,Chapmanville,WV,light,2-3 seconds,2017-03-12 18:00:00,3.0,2017-03-12 18:00:03,WV Chapmanville,-82.0173502,37.9737114
46,3/12/17 08:10,Elk Grove,CA,sphere,40 minutes,2017-03-12 08:10:00,2400.0,2017-03-12 08:50:00,CA Elk Grove,-121.3716178,38.4087993
47,3/12/17 08:10,Elk Grove,CA,sphere,40 minutes,2017-03-12 08:10:00,2400.0,2017-03-12 08:50:00,CA Elk Grove,-121.3716178,38.4087993
48,3/11/17 23:15,Atlanta,GA,light,15 seconds,2017-03-11 23:15:00,15.0,2017-03-11 23:15:15,GA Atlanta,-84.3879824,33.7489954
49,3/11/17 22:00,Lewis center,OH,fireball,3 minutes,2017-03-11 22:00:00,180.0,2017-03-11 22:03:00,OH Lewis center,-83.0100987,40.1983884
50,3/11/17 21:41,Virginia Beach,VA,fireball,3 minutes,2017-03-11 21:41:00,180.0,2017-03-11 21:44:00,VA Virginia Beach,-75.977985,36.8529263
51,3/11/17 21:31,Ottawa (Canada),ON,oval,4-5 seconds,2017-03-11 21:31:00,5.0,2017-03-11 21:31:05,ON Ottawa (Canada),-75.6971931,45.4215296
52,3/11/17 20:55,Casa Grande,AZ,circle,3 minutes,2017-03-11 20:55:00,180.0,2017-03-11 20:58:00,AZ Casa Grande,-111.7573521,32.8795022
53,3/11/17 20:00,Concord,NC,light,5 minutes,2017-03-11 20:00:00,300.0,2017-03-11 20:05:00,NC Concord,-80.579511,35.4087517
55,3/11/17 18:00,Lavallette,NJ,other,8 hours,2017-03-11 18:00:00,28800.0,2017-03-12 02:00:00,NJ Lavallette,-74.0687475,39.9703958
56,3/11/17 18:00,Lavallette,NJ,other,8 hours,2017-03-11 18:00:00,28800.0,2017-03-12 02:00:00,NJ Lavallette,-74.0687475,39.9703958
57,3/11/17 06:00,Mt. Airy,NC,cigar,1 second,2017-03-11 06:00:00,1.0,2017-03-11 06:00:01,NC Mt. Airy,-80.6072858,36.4993007
58,3/11/17 05:00,Wausau,WI,cigar,15 minutes,2017-03-11 05:00:00,900.0,2017-03-11 05:15:00,WI Wausau,-89.6301221,44.9591352
59,3/10/17 23:00,Frisco,TX,oval,2-3 minutes,2017-03-10 23:00:00,180.0,2017-03-10 23:03:00,TX Frisco,-96.8236116,33.1506744
60,3/10/17 22:00,Yarmouth (Nova Scotia)(Canada),NS,rectangle,2 minutes,2017-03-10 22:00:00,120.0,2017-03-10 22:02:00,NS Yarmouth (Nova Scotia)(Canada),-66.117382,43.8374576
61,3/10/17 20:30,Clarksville,TN,other,10 minutes,2017-03-10 20:30:00,600.0,2017-03-10 20:40:00,TN Clarksville,-87.3594528,36.5297706
62,3/10/17 20:30,Clarksville,TN,cigar,15 minutes,2017-03-10 20:30:00,900.0,2017-03-10 20:45:00,TN Clarksville,-87.3594528,36.5297706
64,3/10/17 19:15,Des Moines,WA,light,5 minutes,2017-03-10 19:15:00,300.0,2017-03-10 19:20:00,WA Des Moines,-122.3242902,47.4017661
65,3/10/17 08:00,Alexandria,IN,circle,30 minutes,2017-03-10 08:00:00,1800.0,2017-03-10 08:30:00,IN Alexandria,-77.0469214,38.8048355
66,3/10/17 05:55,Battle Creek,MI,light,5 minutes,2017-03-10 05:55:00,300.0,2017-03-10 06:00:00,MI Battle Creek,-85.1797142,42.3211522
67,3/10/17 00:30,Newton,KS,triangle,~10 minutes,2017-03-10 00:30:00,600.0,2017-03-10 00:40:00,KS Newton,-97.3450365,38.0466779
68,3/9/17 00:00,Bellevue,WA,unknown,20 minutes,2017-03-09 00:00:00,1200.0,2017-03-09 00:20:00,WA Bellevue,-122.2015159,47.6101497
69,3/9/17 00:00,Dartmouth (Canada),NS,light,1 hour,2017-03-09 00:00:00,3600.0,2017-03-09 01:00:00,NS Dartmouth (Canada),-63.5677427,44.6652059
71,3/9/17 21:00,Valley Center,CA,circle,10 minutes,2017-03-09 21:00:00,600.0,2017-03-09 21:10:00,CA Valley Center,-117.0341967,33.2183701
72,3/9/17 20:30,St. Louis,MO,light,20 seconds,2017-03-09 20:30:00,20.0,2017-03-09 20:30:20,MO St. Louis,-90.1994042,38.6270025
73,3/9/17 20:00,Port Saint Lucie,FL,triangle,7 minutes,2017-03-09 20:00:00,420.0,2017-03-09 20:07:00,FL Port Saint Lucie,-80.3582261,27.2730492
74,3/9/17 19:45,LaFayette,IL,light,5 minutes,2017-03-09 19:45:00,300.0,2017-03-09 19:50:00,IL LaFayette,-88.3044908,39.4948223
75,3/9/17 19:37,Las Vegas,NV,light,3 minutes,2017-03-09 19:37:00,180.0,2017-03-09 19:40:00,NV Las Vegas,-115.1398296,36.1699412
77,3/9/17 18:35,Prince Albert (Canada),SK,other,2 minutes,2017-03-09 18:35:00,120.0,2017-03-09 18:37:00,SK Prince Albert (Canada),-105.7530705,53.2033494
78,3/9/17 15:15,Leonardtown,MD,circle,15-25 seconds,2017-03-09 15:15:00,25.0,2017-03-09 15:15:25,MD Leonardtown,-76.6357942,38.291238
79,3/9/17 05:55,Saint Joseph,MO,sphere,20 second,2017-03-09 05:55:00,20.0,2017-03-09 05:55:20,MO Saint Joseph,-94.846681,39.7674578
80,3/9/17 03:12,Vestavia,AL,oval,1 hour +,2017-03-09 03:12:00,3600.0,2017-03-09 04:12:00,AL Vestavia,-86.7877668,33.4487183
81,3/9/17 01:00,Melbourne,FL,light,10 minutes,2017-03-09 01:00:00,600.0,2017-03-09 01:10:00,FL Melbourne,-80.6081089,28.0836269
82,3/8/17 23:30,Lockwood,MO,triangle,10 minutes,2017-03-08 23:30:00,600.0,2017-03-08 23:40:00,MO Lockwood,-93.9532705,37.3856044
83,3/8/17 20:00,Piney Flats,TN,circle,30 minutes,2017-03-08 20:00:00,1800.0,2017-03-08 20:30:00,TN Piney Flats,-82.3048542,36.4192723
84,3/8/17 18:30,Riverdale,NJ,circle,15 minutes,2017-03-08 18:30:00,900.0,2017-03-08 18:45:00,NJ Riverdale,-74.3034823,40.9939865
