,datestr,city,state,shape,duration_description,start_dt,duration_secs,end_dt,location_name,lon,lat
987,12/23/16 18:10,Delta Junction,AK,fireball,45 seconds,2016-12-23 18:10:00,45.0,2016-12-23 18:10:45,AK Delta Junction,-145.7322222,64.0377778
988,12/23/16 17:30,Tucson,AZ,formation,2 minutes,2016-12-23 17:30:00,120.0,2016-12-23 17:32:00,AZ Tucson,-110.926479,32.2217429
989,12/23/16 17:15,Fresno,CA,oval,5 minutes,2016-12-23 17:15:00,300.0,2016-12-23 17:20:00,CA Fresno,-119.7725868,36.7468422
991,12/23/16 03:09,Clearwater,FL,triangle,13 seconds,2016-12-23 03:09:00,13.0,2016-12-23 03:09:13,FL Clearwater,-82.8001026,27.9658533
992,12/22/16 21:30,Girard,OH,light,2 minutes,2016-12-22 21:30:00,120.0,2016-12-22 21:32:00,OH Girard,-80.7014662,41.1539465
993,12/22/16 21:30,New Brockton,AL,light,~2 seconds,2016-12-22 21:30:00,2.0,2016-12-22 21:30:02,AL New Brockton,-85.9293861,31.3857239
994,12/22/16 18:40,Garland,TX,light,20 minutes,2016-12-22 18:40:00,1200.0,2016-12-22 19:00:00,TX Garland,-96.6388833,32.912624
995,12/22/16 18:30,Deer River,MN,light,30 minutes+,2016-12-22 18:30:00,1800.0,2016-12-22 19:00:00,MN Deer River,-93.793048,47.3328773
996,12/22/16 10:00,Evansville,IN,circle,0.5 second,2016-12-22 10:00:00,5.0,2016-12-22 10:00:05,IN Evansville,-87.5710898,37.9715592
998,12/22/16 01:24,Sandown,NH,other,2 seconds,2016-12-22 01:24:00,2.0,2016-12-22 01:24:02,NH Sandown,-71.1870053,42.928698
999,12/21/16 21:45,Shrewsbury,PA,other,7-8 minutes,2016-12-21 21:45:00,480.0,2016-12-21 21:53:00,PA Shrewsbury,-76.679693,39.7687139
1000,12/21/16 21:30,Hillsborough,NC,fireball,5 seconds,2016-12-21 21:30:00,5.0,2016-12-21 21:30:05,NC Hillsborough,-79.0997347,36.0754183
1001,12/21/16 21:00,Fort Meade,MD,triangle,2 seconds,2016-12-21 21:00:00,2.0,2016-12-21 21:00:02,MD Fort Meade,-76.7267773,39.1137602
1002,12/21/16 21:00,Redwood City,CA,changing,30 seconds,2016-12-21 21:00:00,30.0,2016-12-21 21:00:30,CA Redwood City,-122.2363548,37.4852152
1003,12/21/16 19:30,Cheltenham,PA,light,10 mins,2016-12-21 19:30:00,600.0,2016-12-21 19:40:00,PA Cheltenham,-75.1370254,40.0812601
1004,12/21/16 19:15,Waynesboro,VA,sphere,3 minutes,2016-12-21 19:15:00,180.0,2016-12-21 19:18:00,VA Waynesboro,-78.8894682,38.0684692
1005,12/21/16 17:30,Springfield,MO,oval,15 minutes,2016-12-21 17:30:00,900.0,2016-12-21 17:45:00,MO Springfield,-93.2922989,37.2089572
1007,12/21/16 07:08,East Peoria,IL,other,2-3 minutes,2016-12-21 07:08:00,180.0,2016-12-21 07:11:00,IL East Peoria,-89.5800978,40.666149
1008,12/21/16 03:00,New York,NY,circle,10 minutes,2016-12-21 03:00:00,600.0,2016-12-21 03:10:00,NY New York,-74.0059413,40.7127837
1009,12/21/16 00:00,Louisville,KY,unknown,1 hour,2016-12-21 00:00:00,3600.0,2016-12-21 01:00:00,KY Louisville,-85.7584557,38.2526647
1010,12/20/16 22:30,Santa Rosa,CA,sphere,2 minutes,2016-12-20 22:30:00,120.0,2016-12-20 22:32:00,CA Santa Rosa,-122.7140548,38.440429
1011,12/20/16 20:30,Sun City West,AZ,fireball,5 minutes,2016-12-20 20:30:00,300.0,2016-12-20 20:35:00,AZ Sun City West,-112.3412726,33.6619819
1012,12/20/16 19:00,Fresno,CA,circle,5 minutes,2016-12-20 19:00:00,300.0,2016-12-20 19:05:00,CA Fresno,-119.7725868,36.7468422
1013,12/20/16 16:15,Syracuse,NY,circle,30 seconds,2016-12-20 16:15:00,30.0,2016-12-20 16:15:30,NY Syracuse,-76.1474244,43.0481221
1015,12/19/16 21:50,Redding,CA,light,5-6 seconds,2016-12-19 21:50:00,6.0,2016-12-19 21:50:06,CA Redding,-122.3916754,40.5865396
1016,12/19/16 20:02,Gilbert,AZ,light,15 minutes,2016-12-19 20:02:00,900.0,2016-12-19 20:17:00,AZ Gilbert,-111.789027,33.3528264
1018,12/19/16 18:30,Huber Heights,OH,cylinder,1 hour,2016-12-19 18:30:00,3600.0,2016-12-19 19:30:00,OH Huber Heights,-84.1246608,39.843947
1020,12/19/16 10:30,Anchorage,AK,circle,160 seconds,2016-12-19 10:30:00,160.0,2016-12-19 10:32:40,AK Anchorage,-149.9002778,61.2180556
1021,12/19/16 06:50,Town and Country,MO,light,>10 minutes,2016-12-19 06:50:00,600.0,2016-12-19 07:00:00,MO Town and Country,-90.4634532,38.6122751
1022,12/19/16 03:30,Salt Lake City,UT,triangle,5 minutes,2016-12-19 03:30:00,300.0,2016-12-19 03:35:00,UT Salt Lake City,-111.8910474,40.7607793
1023,12/19/16 01:27,Richardson,TX,triangle,<1 minute,2016-12-19 01:27:00,60.0,2016-12-19 01:28:00,TX Richardson,-96.7298519,32.9483335
1024,12/18/16 22:00,Wetaskiwin (Canada),AB,light,4 minutes,2016-12-18 22:00:00,240.0,2016-12-18 22:04:00,AB Wetaskiwin (Canada),-113.3772454,52.9695353
1026,12/18/16 21:15,Honolulu,HI,light,5 minutes,2016-12-18 21:15:00,300.0,2016-12-18 21:20:00,HI Honolulu,-157.8243963,21.276613
1027,12/18/16 21:00,St. George,UT,chevron,2-3 seconds,2016-12-18 21:00:00,3.0,2016-12-18 21:00:03,UT St. George,-113.5684164,37.0965278
1028,12/18/16 20:40,Bend,OR,other,1 minute,2016-12-18 20:40:00,60.0,2016-12-18 20:41:00,OR Bend,-121.3153096,44.0581728
1029,12/18/16 19:30,Mission,KS,light,10 minutes,2016-12-18 19:30:00,600.0,2016-12-18 19:40:00,KS Mission,-94.6557914,39.0277832
1030,12/18/16 19:00,Lancaster,OH,light,3 minutes,2016-12-18 19:00:00,180.0,2016-12-18 19:03:00,OH Lancaster,-82.5993294,39.7136754
1031,12/18/16 18:30,Great Falls,MT,triangle,10 seconds,2016-12-18 18:30:00,10.0,2016-12-18 18:30:10,MT Great Falls,-111.2833449,47.4941836
1035,12/17/16 21:00,San Pedro,CA,other,2 hours,2016-12-17 21:00:00,7200.0,2016-12-17 23:00:00,CA San Pedro,-118.2922461,33.7360619
1036,12/17/16 20:00,Kahana,HI,fireball,4 seconds,2016-12-17 20:00:00,4.0,2016-12-17 20:00:04,HI Kahana,-156.6773734,20.9765868
1037,12/17/16 20:00,San Diego,CA,sphere,10-15 minutes,2016-12-17 20:00:00,900.0,2016-12-17 20:15:00,CA San Diego,-117.1610838,32.715738
1038,12/17/16 19:53,Waipio,HI,circle,2-3 seconds,2016-12-17 19:53:00,3.0,2016-12-17 19:53:03,HI Waipio,-157.9955852,21.414311
1039,12/17/16 19:15,Ojai,CA,oval,1 minute,2016-12-17 19:15:00,60.0,2016-12-17 19:16:00,CA Ojai,-119.242889,34.4480495
1040,12/17/16 07:30,Weston,FL,circle,5 minutes,2016-12-17 07:30:00,300.0,2016-12-17 07:35:00,FL Weston,-80.3997748,26.1003654
1042,12/16/16 23:30,Rio Rancho,NM,fireball,10 seconds,2016-12-16 23:30:00,10.0,2016-12-16 23:30:10,NM Rio Rancho,-106.6630437,35.2327544
1043,12/16/16 22:20,Hixson,TN,other,2 minutes,2016-12-16 22:20:00,120.0,2016-12-16 22:22:00,TN Hixson,-85.2368219,35.137265
1044,12/16/16 22:00,Dade City,FL,circle,3-5 seconds,2016-12-16 22:00:00,5.0,2016-12-16 22:00:05,FL Dade City,-82.1959178,28.3647248
1045,12/16/16 19:30,La Veta,CO,light,10 minutes,2016-12-16 19:30:00,600.0,2016-12-16 19:40:00,CO La Veta,-105.0077747,37.5050118
1046,12/16/16 18:30,Kelso,WA,other,4 minutes,2016-12-16 18:30:00,240.0,2016-12-16 18:34:00,WA Kelso,-122.9084445,46.146779
1047,12/16/16 18:00,Skiatook,OK,light,2 minutes,2016-12-16 18:00:00,120.0,2016-12-16 18:02:00,OK Skiatook,-96.0013847,36.3684245
1049,12/15/16 21:00,Syracuse,NY,oval,5 minutes,2016-12-15 21:00:00,300.0,2016-12-15 21:05:00,NY Syracuse,-76.1474244,43.0481221
1050,12/15/16 20:30,Johnson City,TN,triangle,2 minutes,2016-12-15 20:30:00,120.0,2016-12-15 20:32:00,TN Johnson City,-82.3534727,36.3134397
1051,12/15/16 20:00,Davie,FL,egg,5 minutes,2016-12-15 20:00:00,300.0,2016-12-15 20:05:00,FL Davie,-80.2521157,26.0764783
1052,12/15/16 19:00,Middlefield,CT,light,30 minutes,2016-12-15 19:00:00,1800.0,2016-12-15 19:30:00,CT Middlefield,-72.7120402,41.5173203
1053,12/15/16 19:00,Winchester,KS,triangle,1 minute,2016-12-15 19:00:00,60.0,2016-12-15 19:01:00,KS Winchester,-95.2669155,39.3222209
1054,12/15/16 18:00,Corbin,KY,flash,< 1 second,2016-12-15 18:00:00,1.0,2016-12-15 18:00:01,KY Corbin,-84.0968761,36.9486986
1055,12/15/16 17:50,Simpsonville,SC,disk,10 minutes,2016-12-15 17:50:00,600.0,2016-12-15 18:00:00,SC Simpsonville,-82.2542834,34.7370639
1056,12/15/16 17:00,Panama City,FL,circle,30 minutes,2016-12-15 17:00:00,1800.0,2016-12-15 17:30:00,FL Panama City,-85.6602058,30.1588129
1057,12/15/16 14:00,Stephenson,VA,circle,1-2 minutes,2016-12-15 14:00:00,120.0,2016-12-15 14:02:00,VA Stephenson,-78.1063889,39.237325
1059,12/15/16 05:37,Ozark,AL,unknown,20 seconds,2016-12-15 05:37:00,20.0,2016-12-15 05:37:20,AL Ozark,-85.640289,31.459017
1060,12/14/16 20:15,Cumming,GA,light,10 seconds,2016-12-14 20:15:00,10.0,2016-12-14 20:15:10,GA Cumming,-84.1401926,34.2073196
1061,12/14/16 19:54,North Chesterfield,VA,formation,20 seconds,2016-12-14 19:54:00,20.0,2016-12-14 19:54:20,VA North Chesterfield,-77.468513,37.458993
1062,12/14/16 19:21,Dabney,KY,triangle,80 seconds,2016-12-14 19:21:00,80.0,2016-12-14 19:22:20,KY Dabney,-84.5499417,37.1839682
1063,12/14/16 17:00,Clinton,CT,circle,2 minutes,2016-12-14 17:00:00,120.0,2016-12-14 17:02:00,CT Clinton,-72.5288034,41.2882208
1064,12/14/16 09:00,San Diego,CA,oval,15 minutes,2016-12-14 09:00:00,900.0,2016-12-14 09:15:00,CA San Diego,-117.1610838,32.715738
1065,12/14/16 06:00,South Burlington,VT,light,1 seconds,2016-12-14 06:00:00,1.0,2016-12-14 06:00:01,VT South Burlington,-73.1709604,44.4669941
1066,12/14/16 05:35,Prescott Valley,AZ,unknown,8 minutes,2016-12-14 05:35:00,480.0,2016-12-14 05:43:00,AZ Prescott Valley,-112.315721,34.6100243
1067,12/14/16 05:00,Monroe Twp,NJ,unknown,10 minutes,2016-12-14 05:00:00,600.0,2016-12-14 05:10:00,NJ Monroe Twp,-74.4330474,40.336419
1068,12/14/16 01:00,Berthoud,CO,disk,3 seconds,2016-12-14 01:00:00,3.0,2016-12-14 01:00:03,CO Berthoud,-105.0810924,40.3083174
1069,12/13/16 23:00,Liberty Lake,WA,triangle,10 minutes,2016-12-13 23:00:00,600.0,2016-12-13 23:10:00,WA Liberty Lake,-117.1124241,47.6743428
1070,12/13/16 22:20,Chicago,IL,light,3 seconds,2016-12-13 22:20:00,3.0,2016-12-13 22:20:03,IL Chicago,-87.6297982,41.8781136
1071,12/13/16 22:00,La Jolla,CA,light,5 minutes,2016-12-13 22:00:00,300.0,2016-12-13 22:05:00,CA La Jolla,-117.2712717,32.8328112
1072,12/13/16 21:15,Fort Lauderdale,FL,circle,3 seconds,2016-12-13 21:15:00,3.0,2016-12-13 21:15:03,FL Fort Lauderdale,-80.1373174,26.1224386
1073,12/13/16 21:00,Cedar Rapids,IA,triangle,10-15 seconds,2016-12-13 21:00:00,15.0,2016-12-13 21:00:15,IA Cedar Rapids,-91.6656232,41.9778795
1074,12/13/16 19:00,Hale,MI,light,5-10 minutes,2016-12-13 19:00:00,600.0,2016-12-13 19:10:00,MI Hale,-83.8047965,44.377972
1076,12/13/16 19:00,Dubuque,IA,light,5 seconds,2016-12-13 19:00:00,5.0,2016-12-13 19:00:05,IA Dubuque,-90.6645718,42.5005583
1077,12/13/16 18:30,St. Johns,FL,chevron,1 minute,2016-12-13 18:30:00,60.0,2016-12-13 18:31:00,FL St. Johns,-81.4278984,29.9719419
1079,12/13/16 05:35,West Des Moines,IA,light,3 seconds,2016-12-13 05:35:00,3.0,2016-12-13 05:35:03,IA West Des Moines,-93.711332,41.5772115
1080,12/13/16 03:37,Pasadena,CA,unknown,2 minutes,2016-12-13 03:37:00,120.0,2016-12-13 03:39:00,CA Pasadena,-118.1445155,34.1477849
1081,12/12/16 21:30,Hagerstown,MD,fireball,5 seconds,2016-12-12 21:30:00,5.0,2016-12-12 21:30:05,MD Hagerstown,-77.7199932,39.6417629
1082,12/12/16 20:45,Jacksonville,FL,light,2 seconds,2016-12-12 20:45:00,2.0,2016-12-12 20:45:02,FL Jacksonville,-81.655651,30.3321838
1083,12/12/16 19:07,Taos,NM,light,20 minutes,2016-12-12 19:07:00,1200.0,2016-12-12 19:27:00,NM Taos,-105.5730665,36.4072485
1084,12/12/16 19:06,Stevens Pass,WA,changing,~30 seconds,2016-12-12 19:06:00,30.0,2016-12-12 19:06:30,WA Stevens Pass,-121.0859328,47.7462223
1085,12/12/16 19:00,Marietta,GA,light,2+ hours,2016-12-12 19:00:00,7200.0,2016-12-12 21:00:00,GA Marietta,-84.5499327,33.952602
1086,12/12/16 18:50,West Collingswood,NJ,sphere,~1 minute,2016-12-12 18:50:00,60.0,2016-12-12 18:51:00,NJ West Collingswood,-75.094695,39.9062557
1087,12/12/16 18:30,South Lake Tahoe,CA,light,10 minutes,2016-12-12 18:30:00,600.0,2016-12-12 18:40:00,CA South Lake Tahoe,-119.9771868,38.939926
1088,12/12/16 17:32,Salem,OR,other,15 minutes,2016-12-12 17:32:00,900.0,2016-12-12 17:47:00,OR Salem,-123.0350963,44.9428975
1091,12/12/16 07:30,Eden Prarie,MN,light,2 minutes,2016-12-12 07:30:00,120.0,2016-12-12 07:32:00,MN Eden Prarie,-93.470786,44.8546856
1092,12/12/16 06:20,Smithville,MO,circle,10 seconds,2016-12-12 06:20:00,10.0,2016-12-12 06:20:10,MO Smithville,-94.5810659,39.3869442
1093,12/12/16 01:00,Tamaqua,PA,unknown,5 minutes,2016-12-12 01:00:00,300.0,2016-12-12 01:05:00,PA Tamaqua,-75.9693707,40.7973112
1094,12/11/16 22:30,Casey,IA,light,5 seconds,2016-12-11 22:30:00,5.0,2016-12-11 22:30:05,IA Casey,-94.5183037,41.5047095
1095,12/11/16 20:00,St. George,UT,other,30 minutes & continuing,2016-12-11 20:00:00,1800.0,2016-12-11 20:30:00,UT St. George,-113.5684164,37.0965278
1097,12/11/16 18:00,Fort Collins,CO,other,5-10 seconds,2016-12-11 18:00:00,10.0,2016-12-11 18:00:10,CO Fort Collins,-105.084423,40.5852602
1099,12/11/16 16:00,Independence,LA,light,1 hour,2016-12-11 16:00:00,3600.0,2016-12-11 17:00:00,LA Independence,-90.5009245,30.635466
1100,12/11/16 14:00,Chester,PA,formation,1 minute,2016-12-11 14:00:00,60.0,2016-12-11 14:01:00,PA Chester,-75.3557457,39.849557
1101,12/11/16 08:56,Trabuco Canyon,CA,sphere,30 seconds,2016-12-11 08:56:00,30.0,2016-12-11 08:56:30,CA Trabuco Canyon,-117.5869862,33.6655081
1102,12/11/16 06:15,Gallatin Gateway,MT,circle,2 minutes,2016-12-11 06:15:00,120.0,2016-12-11 06:17:00,MT Gallatin Gateway,-111.1977304,45.5915958
1103,12/10/16 23:47,Hot Springs,SD,circle,8 minutes,2016-12-10 23:47:00,480.0,2016-12-10 23:55:00,SD Hot Springs,-103.4743625,43.431646
1104,12/10/16 22:10,Delta,CO,fireball,5 seconds,2016-12-10 22:10:00,5.0,2016-12-10 22:10:05,CO Delta,-108.0689582,38.7422062
1106,12/10/16 21:00,Delta,CO,fireball,6-7 minutes,2016-12-10 21:00:00,420.0,2016-12-10 21:07:00,CO Delta,-108.0689582,38.7422062
1108,12/10/16 20:41,Virginia Beach (City of),VA,cigar,<1 minute,2016-12-10 20:41:00,60.0,2016-12-10 20:42:00,VA Virginia Beach (City of),-75.977985,36.8529263
1110,12/10/16 18:52,Kayenta,AZ,disk,10 minutes,2016-12-10 18:52:00,600.0,2016-12-10 19:02:00,AZ Kayenta,-110.2545767,36.7277769
1111,12/10/16 18:30,Lahaina,HI,rectangle,3 minutes,2016-12-10 18:30:00,180.0,2016-12-10 18:33:00,HI Lahaina,-156.6825,20.8783333
1112,12/10/16 18:15,Navajo,NM,light,10 minutes,2016-12-10 18:15:00,600.0,2016-12-10 18:25:00,NM Navajo,-109.0339832,35.9000121
1113,12/10/16 18:00,Santa Fe,NM,formation,10 minutes,2016-12-10 18:00:00,600.0,2016-12-10 18:10:00,NM Santa Fe,-105.937799,35.6869752
1114,12/10/16 08:40,Arlington,VA,oval,30 seconds,2016-12-10 08:40:00,30.0,2016-12-10 08:40:30,VA Arlington,-77.1067698,38.8799697
1115,12/10/16 08:37,Hickory/Conover,NC,cone,2-3 minutes,2016-12-10 08:37:00,180.0,2016-12-10 08:40:00,NC Hickory/Conover,-81.2164621,35.7216707
1116,12/10/16 07:12,Pearland,TX,oval,1 second,2016-12-10 07:12:00,1.0,2016-12-10 07:12:01,TX Pearland,-95.2860474,29.5635666
1117,12/9/16 22:00,Phoenix,AZ,unknown,30 minutes,2016-12-09 22:00:00,1800.0,2016-12-09 22:30:00,AZ Phoenix,-112.0740373,33.4483771
1118,12/9/16 21:50,Portland,OR,flash,10 seconds,2016-12-09 21:50:00,10.0,2016-12-09 21:50:10,OR Portland,-122.6764816,45.5230622
1119,12/9/16 21:39,Oldsmar,FL,sphere,4 minutes,2016-12-09 21:39:00,240.0,2016-12-09 21:43:00,FL Oldsmar,-82.6650992,28.0341847
1120,12/9/16 21:30,Kingman,AZ,triangle,15 seconds,2016-12-09 21:30:00,15.0,2016-12-09 21:30:15,AZ Kingman,-114.0530065,35.189443
1121,12/9/16 20:30,Fredericksburg,VA,circle,2 minutes,2016-12-09 20:30:00,120.0,2016-12-09 20:32:00,VA Fredericksburg,-77.4605399,38.3031837
1122,12/9/16 19:30,Lancing,TN,diamond,5 minutes,2016-12-09 19:30:00,300.0,2016-12-09 19:35:00,TN Lancing,-84.6538308,36.1206306
1123,12/9/16 19:00,Tewksbury,MA,triangle,2 minutes,2016-12-09 19:00:00,120.0,2016-12-09 19:02:00,MA Tewksbury,-71.2342248,42.6106478
1124,12/9/16 16:30,Newport,ME,disk,10 minutes,2016-12-09 16:30:00,600.0,2016-12-09 16:40:00,ME Newport,-69.2444565,44.8557175
1125,12/9/16 16:15,Fredericksburg,VA,sphere,3 minutes,2016-12-09 16:15:00,180.0,2016-12-09 16:18:00,VA Fredericksburg,-77.4605399,38.3031837
1127,12/9/16 05:25,Truro (Canada),NS,oval,2-3 seconds,2016-12-09 05:25:00,3.0,2016-12-09 05:25:03,NS Truro (Canada),-63.2869407,45.3657733
1128,12/8/16 19:30,Jerseyville,IL,triangle,2-4 seconds,2016-12-08 19:30:00,4.0,2016-12-08 19:30:04,IL Jerseyville,-90.3284479,39.1200471
1129,12/8/16 17:30,St. Clair,MO,light,1 hour +,2016-12-08 17:30:00,3600.0,2016-12-08 18:30:00,MO St. Clair,-90.9834027,38.3475584
1130,12/8/16 17:15,Cromwell,CT,circle,15 minutes,2016-12-08 17:15:00,900.0,2016-12-08 17:30:00,CT Cromwell,-72.6453705,41.5950989
1131,12/8/16 16:00,Atlanta,GA,sphere,15 minutes,2016-12-08 16:00:00,900.0,2016-12-08 16:15:00,GA Atlanta,-84.3879824,33.7489954
1132,12/7/16 00:00,Saint Augustine,FL,circle,3 minutes,2016-12-07 00:00:00,180.0,2016-12-07 00:03:00,FL Saint Augustine,-81.3124341,29.9012437
1133,12/7/16 23:30,Anchorage,AK,flash,30 seconds,2016-12-07 23:30:00,30.0,2016-12-07 23:30:30,AK Anchorage,-149.9002778,61.2180556
1134,12/7/16 22:50,Napili,HI,fireball,10 second,2016-12-07 22:50:00,10.0,2016-12-07 22:50:10,HI Napili,-156.6808988,20.963681
1135,12/7/16 22:10,Bellingham,WA,fireball,2 seconds,2016-12-07 22:10:00,2.0,2016-12-07 22:10:02,WA Bellingham,-122.4786854,48.7519112
1136,12/7/16 19:15,Snellville,GA,circle,105 minutes,2016-12-07 19:15:00,6300.0,2016-12-07 21:00:00,GA Snellville,-84.0199108,33.857328
1138,12/7/16 19:00,Fishkill,NY,triangle,1 minute,2016-12-07 19:00:00,60.0,2016-12-07 19:01:00,NY Fishkill,-73.8990252,41.5356492
1139,12/7/16 18:53,Las Vegas,NV,other,2 minute,2016-12-07 18:53:00,120.0,2016-12-07 18:55:00,NV Las Vegas,-115.1398296,36.1699412
1140,12/7/16 18:20,Riverdale,GA,cylinder,15 minutes,2016-12-07 18:20:00,900.0,2016-12-07 18:35:00,GA Riverdale,-84.4132594,33.5726113
1141,12/7/16 18:00,Plymouth,MA,light,5 minutes,2016-12-07 18:00:00,300.0,2016-12-07 18:05:00,MA Plymouth,-70.6672621,41.9584457
1142,12/7/16 17:15,Waterloo (Canada),ON,light,3 minutes,2016-12-07 17:15:00,180.0,2016-12-07 17:18:00,ON Waterloo (Canada),-80.5204096,43.4642578
1143,12/7/16 07:00,Orlando,FL,fireball,45 seconds,2016-12-07 07:00:00,45.0,2016-12-07 07:00:45,FL Orlando,-81.3792365,28.5383355
1144,12/7/16 05:00,Pt. Sur (50 miles off),CA,flash,5-10 minutes,2016-12-07 05:00:00,600.0,2016-12-07 05:10:00,CA Pt. Sur (50 miles off),-64.763922,46.0736242
1145,12/6/16 22:30,Binghamton,NY,flash,2 minutes,2016-12-06 22:30:00,120.0,2016-12-06 22:32:00,NY Binghamton,-75.9179738,42.0986867
1147,12/6/16 19:15,Austin,NV,fireball,10-15 seconds,2016-12-06 19:15:00,15.0,2016-12-06 19:15:15,NV Austin,-117.0672356,39.4925701
1148,12/6/16 19:00,Austin,NV,other,15 minutes,2016-12-06 19:00:00,900.0,2016-12-06 19:15:00,NV Austin,-117.0672356,39.4925701
1149,12/6/16 18:00,Nairn,LA,formation,5-10 minutes,2016-12-06 18:00:00,600.0,2016-12-06 18:10:00,LA Nairn,-89.6108947,29.4279955
1150,12/6/16 17:30,Holland,PA,sphere,1 minute,2016-12-06 17:30:00,60.0,2016-12-06 17:31:00,PA Holland,-74.9722322,40.2010288
1151,12/6/16 17:00,New York City (Manhattan),NY,unknown,<1 minute,2016-12-06 17:00:00,60.0,2016-12-06 17:01:00,NY New York City (Manhattan),-73.9712488,40.7830603
1153,12/6/16 07:15,Union,IL,chevron,20 minutes,2016-12-06 07:15:00,1200.0,2016-12-06 07:35:00,IL Union,-88.5423132,42.2330782
1154,12/6/16 05:00,Osterville,MA,light,4 seconds,2016-12-06 05:00:00,4.0,2016-12-06 05:00:04,MA Osterville,-70.3870055,41.6285902
1155,12/6/16 01:40,Sunrise,FL,circle,10 minute,2016-12-06 01:40:00,600.0,2016-12-06 01:50:00,FL Sunrise,-80.256595,26.1669711
1156,12/5/16 22:40,Regina (Canada),SK,light,2-3 minutes,2016-12-05 22:40:00,180.0,2016-12-05 22:43:00,SK Regina (Canada),-104.6188944,50.4452112
1157,12/5/16 20:05,Niantic,CT,triangle,~90 seconds,2016-12-05 20:05:00,90.0,2016-12-05 20:06:30,CT Niantic,-72.1931338,41.3253756
1159,12/5/16 18:15,Haskell,NJ,triangle,6 minutes,2016-12-05 18:15:00,360.0,2016-12-05 18:21:00,NJ Haskell,-74.2962552,41.0302008
1160,12/5/16 18:00,Westmoreland,NH,disk,3-5 minutes,2016-12-05 18:00:00,300.0,2016-12-05 18:05:00,NH Westmoreland,-72.4423102,42.9620253
1162,12/5/16 16:00,Elizabethtown (near),PA,changing,25 minutes,2016-12-05 16:00:00,1500.0,2016-12-05 16:25:00,PA Elizabethtown (near),-76.6027455,40.1528719
1164,12/5/16 03:30,Stratford,CT,light,1 hour,2016-12-05 03:30:00,3600.0,2016-12-05 04:30:00,CT Stratford,-73.1331651,41.1845415
1165,12/5/16 01:40,La Pine,OR,fireball,~2 seconds,2016-12-05 01:40:00,2.0,2016-12-05 01:40:02,OR La Pine,-121.503636,43.6703995
1166,12/4/16 23:10,Sauk Rapids,MN,triangle,8-10 seconds,2016-12-04 23:10:00,10.0,2016-12-04 23:10:10,MN Sauk Rapids,-94.1661011,45.5919097
1167,12/4/16 22:40,Huntington Beach,CA,chevron,10-15 seconds,2016-12-04 22:40:00,15.0,2016-12-04 22:40:15,CA Huntington Beach,-117.9992265,33.660297
1168,12/4/16 20:00,Freeport,ME,diamond,3 hours,2016-12-04 20:00:00,10800.0,2016-12-04 23:00:00,ME Freeport,-70.1031201,43.8570065
1169,12/4/16 19:32,Sioux Falls,SD,light,30 seconds,2016-12-04 19:32:00,30.0,2016-12-04 19:32:30,SD Sioux Falls,-96.7311034,43.5445959
1170,12/4/16 19:10,Arcade,GA,circle,5 minutes,2016-12-04 19:10:00,300.0,2016-12-04 19:15:00,GA Arcade,-83.5615536,34.0778881
1171,12/4/16 19:00,Redwood Falls,MN,circle,5 minutes,2016-12-04 19:00:00,300.0,2016-12-04 19:05:00,MN Redwood Falls,-95.1169424,44.5394039
1172,12/4/16 18:15,Brinklow,MD,circle,60 minutes,2016-12-04 18:15:00,3600.0,2016-12-04 19:15:00,MD Brinklow,-77.015533,39.1659403
1174,12/4/16 17:30,Severn,MD,light,2 minutes,2016-12-04 17:30:00,120.0,2016-12-04 17:32:00,MD Severn,-76.6983022,39.1370528
1175,12/4/16 15:03,Mission Viejo,CA,light,15 minutes,2016-12-04 15:03:00,900.0,2016-12-04 15:18:00,CA Mission Viejo,-117.6719953,33.6000232
1177,12/4/16 12:10,London (Canada),ON,other,20 minutes,2016-12-04 12:10:00,1200.0,2016-12-04 12:30:00,ON London (Canada),-81.2452768,42.9849233
1178,12/3/16 23:37,Matawan,NJ,flash,5 minutes,2016-12-03 23:37:00,300.0,2016-12-03 23:42:00,NJ Matawan,-74.2295891,40.41483
1180,12/3/16 20:45,Macomb,MI,circle,3 hours,2016-12-03 20:45:00,10800.0,2016-12-03 23:45:00,MI Macomb,-82.9286428,42.6651965
1181,12/3/16 19:30,Corte Madera,CA,disk,5 minutes,2016-12-03 19:30:00,300.0,2016-12-03 19:35:00,CA Corte Madera,-122.5274755,37.9254806
1182,12/3/16 18:15,Boone Grove,IN,disk,5 minutes,2016-12-03 18:15:00,300.0,2016-12-03 18:20:00,IN Boone Grove,-87.1328435,41.355029
1183,12/3/16 18:00,Rockville,MD,oval,10 minutes,2016-12-03 18:00:00,600.0,2016-12-03 18:10:00,MD Rockville,-77.1527578,39.0839973
1185,12/3/16 16:00,Whittier,CA,formation,1 minute,2016-12-03 16:00:00,60.0,2016-12-03 16:01:00,CA Whittier,-118.032844,33.9791793
1186,12/3/16 16:00,Santa Cruz,CA,light,21 minutes,2016-12-03 16:00:00,1260.0,2016-12-03 16:21:00,CA Santa Cruz,-122.0307963,36.9741171
1188,12/2/16 22:00,Philadelphia,PA,light,2 hours,2016-12-02 22:00:00,7200.0,2016-12-03 00:00:00,PA Philadelphia,-75.1652215,39.9525839
1189,12/2/16 20:00,Reidsville,NC,light,15 minutes,2016-12-02 20:00:00,900.0,2016-12-02 20:15:00,NC Reidsville,-79.6644747,36.3548586
