start,end,lon,lat,shape
2015-03-08 20:45:00,2015-03-08 20:48:00,-121.1739212,44.2726203,circle
2015-03-08 20:00:00,2015-03-08 20:05:00,-111.6944685,40.2975185,fireball
2015-03-08 18:45:00,2015-03-08 18:45:10,72.5797068,23.0216238,cross
2015-03-08 17:00:00,2015-03-08 18:00:00,-88.5409333,42.5780721,light
2015-03-08 16:30:00,2015-03-08 16:45:00,-117.1473661,33.4946353,unknown
2015-03-08 16:15:00,2015-03-08 16:15:20,-72.7342163,41.6500201,triangle
2015-03-08 14:00:00,2015-03-08 14:05:00,-78.4766781,38.029306,fireball
2015-03-08 12:00:00,2015-03-08 12:15:00,-81.0856532,40.5728404,diamond
2015-03-07 23:50:00,2015-03-07 23:50:03,-118.4489739,35.1321878,teardrop
2015-03-07 22:00:00,2015-03-07 22:02:00,-91.5804475,41.6764044,formation
2015-03-07 20:50:00,2015-03-07 20:52:00,-123.3272489,42.4393707,formation
2015-03-07 20:40:00,2015-03-07 20:40:20,-95.1057625,29.3780129,disk
2015-03-07 20:10:00,2015-03-07 20:17:00,-121.290753462297,38.7632095,fireball
2015-03-07 20:05:00,2015-03-07 20:05:10,-112.404682963895,33.558997,cigar
2015-03-07 20:00:00,2015-03-07 20:00:05,-105.035482623134,39.856637,light
2015-03-07 19:32:00,2015-03-07 19:37:00,-118.9962124,34.2572261,circle
2015-03-07 19:30:00,2015-03-07 19:34:00,-123.033121,44.9391565,circle
2015-03-07 18:00:00,2015-03-07 18:30:00,-89.4368317,42.7079729,light
2015-03-07 09:52:00,2015-03-07 09:52:42,-151.368208898591,60.0817615,disk
2015-03-07 04:00:00,2015-03-07 04:20:00,-115.4038976,36.0463649,teardrop
2015-03-07 01:15:00,2015-03-07 01:15:10,-90.2711682,43.9226641,circle
2015-03-06 23:30:00,2015-03-06 23:30:20,-84.3628942,34.0143091,light
2015-03-06 22:30:00,2015-03-06 23:00:00,-112.0756724,33.4467681,light
2015-03-06 22:15:00,2015-03-06 23:00:00,-94.9453111772069,32.5473795,unknown
2015-03-06 22:15:00,2015-03-06 22:16:00,-93.2654692,44.9772995,unknown
2015-03-06 21:45:00,2015-03-06 21:55:00,-115.6911975,43.1329504,sphere
2015-03-06 20:40:00,2015-03-06 21:00:00,-82.4942948,34.5228881,light
2015-03-06 20:30:00,2015-03-06 20:33:00,-112.2398262,33.5766205,sphere
2015-03-06 20:25:00,2015-03-06 20:35:00,-112.2398262,33.5766205,fireball
2015-03-06 20:14:00,2015-03-06 20:14:30,-97.4867045,35.3395135,light
2015-03-06 20:00:00,2015-03-06 20:00:10,-74.9512785,40.3642728,fireball
2015-03-06 20:00:00,2015-03-06 20:01:00,-96.6925096,33.0136764,changing
2015-03-06 19:50:00,2015-03-06 19:50:10,-112.0756724,33.4467681,unknown
2015-03-06 19:38:00,2015-03-06 19:42:00,31.0099095,-29.8618254,unknown
2015-03-06 19:30:00,2015-03-06 19:32:00,-77.0841585,38.8903961,circle
2015-03-06 19:30:00,2015-03-06 20:15:00,-72.6515599185185,41.549566,formation
2015-03-06 19:20:00,2015-03-06 19:20:10,-74.7526651,41.0581527,sphere
2015-03-06 18:50:00,2015-03-06 18:50:10,-111.8904308,40.7670126,formation
2015-03-06 18:45:00,2015-03-06 18:50:00,-123.1007066,47.2150945,light
2015-03-06 16:47:00,2015-03-06 16:48:00,-87.7581081,41.7108662,light
2015-03-06 15:00:00,2015-03-06 15:00:40,-94.9027002,29.383845,unknown
2015-03-06 14:35:00,2015-03-06 14:38:00,-95.4692374733689,30.2343735,other
